YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET
2019,3,31,6,3.74,2.94,3.33
2019,3,31,7,4.87,3.69,4.29
2019,3,31,8,7.53,5.22,6.37
2019,3,31,9,10.23,6.41,8.32
2019,3,31,10,11.76,6.84,9.3
2019,3,31,11,12.24,7.2,9.72
2019,3,31,12,11.91,7.56,9.74
2019,3,31,13,10.44,7.51,8.98
2019,3,31,14,7.51,6.07,6.79
2019,3,31,15,7.76,5.91,6.84
2019,3,31,16,8.42,6.12,7.27
2019,3,31,17,7.39,6.3,6.85
2019,3,31,18,6.58,5.94,6.26
2019,3,31,19,6.26,5.78,6.02
2019,3,31,20,6.02,5.64,5.83
2019,3,31,21,6.1,5.7,5.9
2019,3,31,22,6.25,5.83,6.05
2019,3,31,23,6.22,5.84,6.03
2019,4,1,0,5.86,5.69,5.77
2019,4,1,1,5.49,5.49,5.49
2019,4,1,2,5.02,5.2,5.11
2019,4,1,3,4.8,4.9,4.84
2019,4,1,4,4.73,4.59,4.65
2019,4,1,5,4.29,4.13,4.21
2019,4,1,6,4.1,3.66,3.88
2019,4,1,7,3.99,3.34,3.67
2019,4,1,8,5.69,4.42,5.06
2019,4,1,9,8.54,6.03,7.28
2019,4,1,10,10.18,7.08,8.63
2019,4,1,11,10.07,7.2,8.63
2019,4,1,12,10.26,7.38,8.82
2019,4,1,13,11.7,7.25,9.48
2019,4,1,14,12.07,5.9,8.98
2019,4,1,15,11.05,4.9,7.98
2019,4,1,16,9.58,4.39,6.99
2019,4,1,17,7.58,4.06,5.82
2019,4,1,18,5.79,3.83,4.81
2019,4,1,19,4.71,3.36,4.03
2019,4,1,20,3.4,2.3,2.85
2019,4,1,21,2.05,1.21,1.62
2019,4,1,22,1.41,0.58,1.0
2019,4,1,23,1.38,0.56,0.98
2019,4,2,0,1.48,0.63,1.05
2019,4,2,1,1.29,0.58,0.93
2019,4,2,2,0.98,0.4,0.69
2019,4,2,3,0.51,0.14,0.33
2019,4,2,4,0.05,-0.11,-0.03
2019,4,2,5,-0.15,-0.29,-0.22
2019,4,2,6,0.9,0.13,0.51
2019,4,2,7,2.51,0.65,1.58
2019,4,2,8,4.43,0.96,2.69
2019,4,2,9,5.58,0.81,3.19
2019,4,2,10,6.3,0.65,3.48
2019,4,2,11,7.02,0.69,3.86
2019,4,2,12,7.37,0.62,3.99
2019,4,2,13,7.12,0.33,3.73
2019,4,2,14,6.69,0.09,3.39
2019,4,2,15,6.24,0.19,3.22
2019,4,2,16,5.53,0.47,3.0
2019,4,2,17,4.1,0.93,2.51
2019,4,2,18,1.94,0.44,1.19
2019,4,2,19,0.76,-0.1,0.33
2019,4,2,20,-0.13,-0.38,-0.25
2019,4,2,21,-0.86,-0.58,-0.72
2019,4,2,22,-1.52,-0.74,-1.13
2019,4,2,23,-2.07,-0.87,-1.47
2019,4,3,0,-2.24,-0.91,-1.57
2019,4,3,1,-2.05,-0.87,-1.45
2019,4,3,2,-1.62,-0.79,-1.2
2019,4,3,3,-1.31,-0.76,-1.03
2019,4,3,4,-1.23,-0.83,-1.03
2019,4,3,5,-1.19,-0.93,-1.06
2019,4,3,6,0.27,-0.38,-0.06
2019,4,3,7,2.72,0.21,1.46
2019,4,3,8,5.53,-0.02,2.75
2019,4,3,9,7.12,-0.15,3.48
2019,4,3,10,8.28,0.05,4.17
2019,4,3,11,8.98,0.16,4.58
2019,4,3,12,9.05,0.09,4.57
2019,4,3,13,8.8,0.12,4.47
2019,4,3,14,8.49,0.28,4.38
2019,4,3,15,7.98,0.53,4.26
2019,4,3,16,7.26,1.19,4.23
2019,4,3,17,5.79,2.98,4.38
2019,4,3,18,4.15,2.06,3.1
2019,4,3,19,3.87,1.56,2.72
2019,4,3,20,3.62,1.1,2.37
2019,4,3,21,3.28,0.74,2.01
2019,4,3,22,3.05,0.51,1.78
2019,4,3,23,2.78,0.18,1.48
2019,4,4,0,2.4,-0.19,1.11
2019,4,4,1,2.25,-0.34,0.95
2019,4,4,2,2.12,-0.33,0.9
2019,4,4,3,1.73,-0.35,0.69
2019,4,4,4,1.24,-0.44,0.4
2019,4,4,5,0.7,-0.62,0.05
2019,4,4,6,2.11,0.37,1.24
2019,4,4,7,5.09,0.48,2.79
2019,4,4,8,7.83,0.97,4.4
2019,4,4,9,9.26,1.74,5.5
2019,4,4,10,10.2,2.15,6.18
2019,4,4,11,10.9,2.37,6.64
2019,4,4,12,11.3,2.45,6.87
2019,4,4,13,11.34,2.36,6.85
2019,4,4,14,11.06,2.1,6.58
2019,4,4,15,10.64,1.94,6.29
2019,4,4,16,9.79,2.29,6.04
2019,4,4,17,7.33,3.61,5.47
2019,4,4,18,4.73,2.07,3.4
2019,4,4,19,4.19,1.32,2.76
2019,4,4,20,3.87,0.71,2.3
2019,4,4,21,3.38,0.48,1.93
2019,4,4,22,2.73,0.5,1.61
2019,4,4,23,2.19,0.62,1.4
2019,4,5,0,2.05,0.8,1.42
2019,4,5,1,2.01,0.95,1.48
2019,4,5,2,1.81,1.08,1.45
2019,4,5,3,1.44,1.17,1.3
2019,4,5,4,0.92,1.18,1.05
2019,4,5,5,0.65,1.21,0.93
2019,4,5,6,3.16,2.27,2.72
2019,4,5,7,6.08,3.6,4.84
2019,4,5,8,8.4,4.69,6.55
2019,4,5,9,7.94,4.78,6.36
2019,4,5,10,7.24,4.62,5.94
2019,4,5,11,6.12,3.98,5.05
2019,4,5,12,5.64,3.59,4.62
2019,4,5,13,5.37,3.43,4.4
2019,4,5,14,5.43,3.52,4.48
2019,4,5,15,5.51,3.69,4.6
2019,4,5,16,5.4,3.82,4.61
2019,4,5,17,4.83,3.77,4.3
2019,4,5,18,4.01,3.39,3.7
2019,4,5,19,3.61,3.08,3.34
2019,4,5,20,3.38,3.01,3.19
2019,4,5,21,3.24,2.96,3.1
2019,4,5,22,3.17,2.9,3.03
2019,4,5,23,3.17,2.94,3.05
2019,4,6,0,3.21,3.08,3.15
2019,4,6,1,2.47,2.61,2.54
2019,4,6,2,1.76,1.98,1.87
2019,4,6,3,1.86,1.64,1.75
2019,4,6,4,2.04,1.79,1.91
2019,4,6,5,2.01,1.93,1.97
2019,4,6,6,4.5,3.26,3.88
2019,4,6,7,7.4,4.91,6.15
2019,4,6,8,10.08,6.5,8.29
2019,4,6,9,11.63,7.14,9.38
2019,4,6,10,12.15,6.69,9.42
2019,4,6,11,12.59,6.52,9.55
2019,4,6,12,12.39,6.27,9.33
2019,4,6,13,11.57,6.69,9.13
2019,4,6,14,10.97,7.16,9.06
2019,4,6,15,10.71,7.56,9.14
2019,4,6,16,10.12,8.0,9.05
2019,4,6,17,8.98,8.1,8.55
2019,4,6,18,7.97,7.51,7.74
2019,4,6,19,7.6,7.42,7.51
2019,4,6,20,7.28,7.35,7.31
2019,4,6,21,6.73,7.19,6.97
2019,4,6,22,6.05,6.88,6.47
2019,4,6,23,4.96,6.33,5.65
2019,4,7,0,4.62,6.03,5.33
2019,4,7,1,4.88,5.91,5.4
2019,4,7,2,5.11,5.78,5.44
2019,4,7,3,5.08,5.54,5.31
2019,4,7,4,5.05,5.3,5.18
2019,4,7,5,5.01,5.18,5.09
2019,4,7,6,5.69,5.38,5.54
2019,4,7,7,6.52,5.66,6.09
2019,4,7,8,7.65,5.87,6.76
2019,4,7,9,8.99,5.85,7.42
2019,4,7,10,9.71,5.77,7.74
2019,4,7,11,10.21,5.67,7.94
2019,4,7,12,10.56,5.51,8.04
2019,4,7,13,10.98,5.56,8.27
2019,4,7,14,11.1,5.62,8.37
2019,4,7,15,9.93,5.6,7.76
2019,4,7,16,9.02,5.96,7.49
2019,4,7,17,7.81,6.29,7.05
2019,4,7,18,6.67,5.9,6.29
2019,4,7,19,6.26,5.65,5.95
2019,4,7,20,5.85,5.39,5.62
2019,4,7,21,5.22,5.09,5.15
2019,4,7,22,4.72,4.87,4.79
2019,4,7,23,4.28,4.64,4.46
2019,4,8,0,4.08,4.49,4.29
2019,4,8,1,3.76,4.29,4.02
2019,4,8,2,3.43,3.95,3.69
2019,4,8,3,3.2,3.49,3.35
2019,4,8,4,2.65,2.92,2.79
2019,4,8,5,2.32,2.47,2.4
2019,4,8,6,3.26,2.67,2.97
2019,4,8,7,4.76,3.3,4.03
2019,4,8,8,7.63,3.71,5.67
2019,4,8,9,10.01,4.23,7.12
2019,4,8,10,11.55,4.74,8.15
2019,4,8,11,12.51,5.12,8.82
2019,4,8,12,12.96,5.21,9.08
2019,4,8,13,12.93,5.04,8.98
2019,4,8,14,12.44,4.61,8.52
2019,4,8,15,12.05,4.34,8.19
2019,4,8,16,11.33,4.49,7.91
2019,4,8,17,9.33,5.64,7.48
2019,4,8,18,6.72,4.69,5.7
2019,4,8,19,5.9,4.19,5.05
2019,4,8,20,5.26,3.86,4.56
2019,4,8,21,4.62,3.73,4.18
2019,4,8,22,3.76,3.61,3.69
2019,4,8,23,3.12,3.53,3.33
2019,4,9,0,2.65,3.44,3.05
2019,4,9,1,1.85,3.23,2.54
2019,4,9,2,1.44,3.09,2.26
2019,4,9,3,1.67,3.06,2.37
2019,4,9,4,2.28,2.97,2.62
2019,4,9,5,2.53,2.62,2.58
2019,4,9,6,3.21,2.82,3.01
2019,4,9,7,4.55,3.65,4.1
2019,4,9,8,7.73,3.87,5.8
2019,4,9,9,10.48,3.14,6.81
2019,4,9,10,11.83,3.48,7.66
2019,4,9,11,12.81,4.01,8.41
2019,4,9,12,13.52,4.22,8.87
2019,4,9,13,13.71,4.34,9.03
2019,4,9,14,13.37,4.4,8.88
2019,4,9,15,12.62,4.54,8.58
2019,4,9,16,11.69,4.88,8.29
2019,4,9,17,9.66,6.39,8.03
2019,4,9,18,7.33,5.41,6.37
2019,4,9,19,6.44,4.83,5.63
2019,4,9,20,5.79,4.53,5.15
2019,4,9,21,5.07,4.33,4.7
2019,4,9,22,4.27,4.15,4.21
2019,4,9,23,3.49,3.89,3.69
2019,4,10,0,2.76,3.52,3.14
2019,4,10,1,2.15,3.12,2.64
2019,4,10,2,1.63,2.79,2.21
2019,4,10,3,1.22,2.52,1.87
2019,4,10,4,0.9,2.36,1.63
2019,4,10,5,1.05,2.33,1.69
2019,4,10,6,3.94,3.31,3.62
2019,4,10,7,6.46,4.08,5.27
2019,4,10,8,9.22,4.01,6.62
2019,4,10,9,10.97,4.08,7.52
2019,4,10,10,12.4,4.28,8.33
2019,4,10,11,13.55,4.33,8.94
2019,4,10,12,14.44,4.33,9.38
2019,4,10,13,14.95,4.17,9.56
2019,4,10,14,15.12,4.14,9.62
2019,4,10,15,14.8,4.08,9.44
2019,4,10,16,13.95,4.5,9.23
2019,4,10,17,11.75,7.16,9.46
2019,4,10,18,8.95,5.41,7.19
2019,4,10,19,8.14,5.26,6.7
2019,4,10,20,7.26,4.93,6.09
2019,4,10,21,6.56,4.7,5.63
2019,4,10,22,5.98,4.56,5.27
2019,4,10,23,5.32,4.34,4.83
2019,4,11,0,4.8,4.14,4.47
2019,4,11,1,4.42,3.9,4.15
2019,4,11,2,4.22,3.7,3.96
2019,4,11,3,3.99,3.55,3.77
2019,4,11,4,3.69,3.51,3.59
2019,4,11,5,3.48,3.59,3.54
2019,4,11,6,5.97,4.73,5.34
2019,4,11,7,8.82,5.31,7.06
2019,4,11,8,12.05,4.12,8.08
2019,4,11,9,13.43,4.27,8.85
2019,4,11,10,14.48,4.62,9.55
2019,4,11,11,15.28,5.02,10.15
2019,4,11,12,15.85,5.24,10.55
2019,4,11,13,15.92,5.05,10.48
2019,4,11,14,15.65,4.77,10.21
2019,4,11,15,15.05,4.56,9.8
2019,4,11,16,14.06,5.0,9.53
2019,4,11,17,11.93,7.59,9.76
2019,4,11,18,9.4,6.26,7.83
2019,4,11,19,8.44,5.69,7.07
2019,4,11,20,7.67,5.27,6.48
2019,4,11,21,6.92,4.8,5.87
2019,4,11,22,6.15,4.4,5.28
2019,4,11,23,5.43,4.24,4.83
2019,4,12,0,4.65,4.19,4.42
2019,4,12,1,3.97,4.26,4.12
2019,4,12,2,3.44,4.34,3.9
2019,4,12,3,3.26,4.34,3.8
2019,4,12,4,3.46,4.13,3.8
2019,4,12,5,3.65,3.76,3.7
2019,4,12,6,4.12,3.65,3.89
2019,4,12,7,5.29,4.08,4.69
2019,4,12,8,8.19,4.78,6.49
2019,4,12,9,11.21,4.52,7.87
2019,4,12,10,12.6,4.31,8.45
2019,4,12,11,13.4,4.1,8.75
2019,4,12,12,13.68,3.91,8.8
2019,4,12,13,13.48,3.81,8.65
2019,4,12,14,12.84,3.66,8.25
2019,4,12,15,11.99,3.73,7.87
2019,4,12,16,11.3,4.15,7.73
2019,4,12,17,9.68,6.12,7.9
2019,4,12,18,7.8,4.83,6.31
2019,4,12,19,7.24,4.11,5.68
2019,4,12,20,6.5,3.69,5.09
2019,4,12,21,5.61,3.48,4.54
2019,4,12,22,4.69,3.44,4.06
2019,4,12,23,3.91,3.45,3.69
2019,4,13,0,3.3,3.44,3.37
2019,4,13,1,2.76,3.35,3.05
2019,4,13,2,2.53,3.17,2.85
2019,4,13,3,2.33,3.0,2.67
2019,4,13,4,2.05,2.77,2.41
2019,4,13,5,2.15,2.64,2.4
2019,4,13,6,4.43,3.33,3.88
2019,4,13,7,6.95,3.95,5.45
2019,4,13,8,9.52,3.43,6.48
2019,4,13,9,11.24,2.92,7.08
2019,4,13,10,12.56,2.86,7.71
2019,4,13,11,13.51,2.84,8.17
2019,4,13,12,13.94,2.65,8.3
2019,4,13,13,13.89,2.35,8.12
2019,4,13,14,13.56,2.01,7.78
2019,4,13,15,13.16,1.74,7.45
2019,4,13,16,12.45,1.94,7.19
2019,4,13,17,10.3,4.74,7.52
2019,4,13,18,7.02,3.3,5.16
2019,4,13,19,5.87,2.43,4.15
2019,4,13,20,4.98,1.76,3.37
2019,4,13,21,4.38,1.2,2.8
2019,4,13,22,3.98,0.83,2.4
2019,4,13,23,3.47,0.82,2.15
2019,4,14,0,2.81,0.9,1.86
2019,4,14,1,1.87,0.86,1.36
2019,4,14,2,0.87,0.62,0.75
2019,4,14,3,0.12,0.23,0.18
2019,4,14,4,-0.4,-0.16,-0.27
2019,4,14,5,-0.27,-0.35,-0.31
2019,4,14,6,3.53,1.03,2.28
2019,4,14,7,6.31,2.05,4.18
2019,4,14,8,9.59,1.0,5.3
2019,4,14,9,11.39,0.84,6.12
2019,4,14,10,12.85,1.12,6.98
2019,4,14,11,13.98,1.47,7.73
2019,4,14,12,14.81,1.69,8.25
2019,4,14,13,15.34,1.76,8.55
2019,4,14,14,15.47,1.62,8.55
2019,4,14,15,15.11,1.57,8.34
2019,4,14,16,14.16,1.98,8.07
2019,4,14,17,11.41,5.6,8.51
2019,4,14,18,8.49,2.68,5.58
2019,4,14,19,7.85,1.44,4.64
2019,4,14,20,7.16,0.73,3.94
2019,4,14,21,6.23,0.35,3.29
2019,4,14,22,5.03,0.18,2.61
2019,4,14,23,3.94,0.02,1.98
2019,4,15,0,3.06,-0.1,1.48
2019,4,15,1,2.38,-0.26,1.06
2019,4,15,2,2.04,-0.31,0.87
2019,4,15,3,1.72,-0.46,0.62
2019,4,15,4,1.49,-0.76,0.37
2019,4,15,5,1.88,-0.49,0.69
2019,4,15,6,5.38,1.67,3.52
2019,4,15,7,8.0,2.06,5.03
2019,4,15,8,11.9,1.88,6.9
2019,4,15,9,14.32,1.24,7.78
2019,4,15,10,15.64,2.59,9.12
2019,4,15,11,16.52,3.66,10.09
2019,4,15,12,17.09,4.03,10.56
2019,4,15,13,17.44,4.03,10.73
2019,4,15,14,17.4,3.92,10.66
2019,4,15,15,16.9,3.92,10.4
2019,4,15,16,15.73,4.56,10.15
2019,4,15,17,12.67,7.28,9.98
2019,4,15,18,9.12,5.56,7.34
2019,4,15,19,7.97,4.66,6.32
2019,4,15,20,7.07,3.9,5.48
2019,4,15,21,6.26,3.18,4.72
2019,4,15,22,5.69,2.66,4.17
2019,4,15,23,5.08,2.19,3.63
2019,4,16,0,4.43,1.72,3.08
2019,4,16,1,3.87,1.38,2.62
2019,4,16,2,3.44,1.07,2.25
2019,4,16,3,3.06,0.71,1.89
2019,4,16,4,2.9,0.34,1.62
2019,4,16,5,3.3,0.24,1.77
2019,4,16,6,6.9,3.49,5.19
2019,4,16,7,9.9,3.34,6.62
2019,4,16,8,12.55,2.73,7.64
2019,4,16,9,14.13,1.24,7.69
2019,4,16,10,13.92,0.98,7.45
2019,4,16,11,12.95,0.76,6.86
2019,4,16,12,11.93,1.4,6.66
2019,4,16,13,12.87,2.15,7.51
2019,4,16,14,14.14,2.78,8.46
2019,4,16,15,14.26,3.26,8.76
2019,4,16,16,13.44,3.8,8.62
2019,4,16,17,11.17,4.73,7.95
2019,4,16,18,8.15,4.53,6.34
2019,4,16,19,7.05,4.12,5.58
2019,4,16,20,6.09,3.67,4.88
2019,4,16,21,5.26,3.09,4.18
2019,4,16,22,4.61,2.52,3.56
2019,4,16,23,4.06,2.29,3.17
2019,4,17,0,5.03,2.8,3.92
2019,4,17,1,5.67,3.09,4.38
2019,4,17,2,6.3,3.44,4.87
2019,4,17,3,5.78,3.95,4.87
2019,4,17,4,5.48,3.64,4.56
2019,4,17,5,6.29,3.45,4.87
